Date/Time,Year,Month,Day,Data Quality,Max Temp (C),Max Temp Flag,Min Temp (C),Min Temp Flag,Mean Temp (C),Mean Temp Flag,Heat Deg Days (C),Heat Deg Days Flag,Cool Deg Days (C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10's deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
11-05-20,2011,5,20, ,23.6,,12.7,,18.2,,0,,0.2,,0.8,,0,,0.8,,0,,35,,32,
11-05-21,2011,5,21, ,24.9,,14.5,,19.7,,0,,1.7,,0,T,0,,0,T,0,,0,,0,
11-05-22,2011,5,22, ,20.2,,14.3,,17.3,,0.7,,0,,1.6,,0,,1.6,,0,,0,,0,
11-05-23,2011,5,23, ,25.2,,14.8,,20,,0,,2,,13.6,,0,,13.6,,0,,27,,65,
11-05-24,2011,5,24, ,19.8,,9.3,,14.6,,3.4,,0,,0,,0,,0,,0,,30,,48,
11-05-25,2011,5,25, ,16.2,,8,,12.1,,5.9,,0,,13.2,,0,,13.2,,0,,11,,39,
11-05-26,2011,5,26, ,20.9,,10.7,,15.8,,2.2,,0,,17.2,,0,,17.2,,0,,1,,33,
11-05-27,2011,5,27, ,14.2,,11.1,,12.7,,5.3,,0,,1.2,,0,,1.2,,0,,0,,0,
11-05-28,2011,5,28, ,20.2,,11.1,,15.7,,2.3,,0,,0.8,,0,,0.8,,0,,0,,0,
11-05-29,2011,5,29, ,23.7,,13,,18.4,,0,,0.4,,3.4,,0,,3.4,,0,,0,,0,
11-05-30,2011,5,30, ,25.3,,16.8,,21.1,,0,,3.1,,0,,0,,0,,0,,0,,0,
11-05-31,2011,5,31, ,30.4,,16.2,,23.3,,0,,5.3,,0,,0,,0,,0,,0,,0,
11-06-01,2011,6,1, ,26.3,,12.5,,19.4,,0,,1.4,,0,,0,,0,,0,,27,,72,
11-06-02,2011,6,2, ,20.3,,9.3,,14.8,,3.2,,0,,0,,0,,0,,0,,30,,56,
11-06-03,2011,6,3, ,24,,8.9,,16.5,,1.5,,0,,0,,0,,0,,0,,0,,0,
11-06-04,2011,6,4, ,17.7,,11.5,,14.6,,3.4,,0,,14.6,,0,,14.6,,0,,34,,61,
11-06-05,2011,6,5, ,27,,11.2,,19.1,,0,,1.1,,0,,0,,0,,0,,35,,41,
11-06-06,2011,6,6, ,26.5,,13.8,,20.2,,0,,2.2,,0,T,0,,0,T,0,,,M,,M
11-06-07,2011,6,7, ,29.7,,15.6,,22.7,,0,,4.7,,5.8,,0,,5.8,,0,,4,,32,
11-06-08,2011,6,8, ,33.4,,19.4,,26.4,,0,,8.4,,0,,0,,0,,0,,31,,48,
11-06-09,2011,6,9, ,26.9,,12.8,,19.9,,0,,1.9,,0,T,0,,0,T,0,,28,,69,
11-06-10,2011,6,10, ,19.9,,10.8,,15.4,,2.6,,0,,0,,0,,0,,0,,9,,32,
11-06-11,2011,6,11, ,20.1,,15.1,,17.6,,0.4,,0,,0,T,0,,0,T,0,,0,,0,
11-06-12,2011,6,12, ,19.4,,12.9,,16.2,,1.8,,0,,0,,0,,0,,0,,30,,44,
11-06-13,2011,6,13, ,18.6,,10.4,,14.5,,3.5,,0,,0,T,0,,0,T,0,,35,,37,
11-06-14,2011,6,14, ,19.8,,11.9,,15.9,,2.1,,0,,0,,0,,0,,0,,0,,0,
11-06-15,2011,6,15, ,27.7,,11.9,,19.8,,0,,1.8,,0,,0,,0,,0,,0,,0,
11-06-16,2011,6,16, ,25.2,,15.2,,20.2,,0,,2.2,,0,,0,,0,,0,,0,,0,
11-06-17,2011,6,17, ,24.2,,16.3,,20.3,,0,,2.3,,0,,0,,0,,0,,0,,0,
11-06-18,2011,6,18, ,28.4,,14.9,,21.7,,0,,3.7,,0,,0,,0,,0,,36,,39,
11-06-19,2011,6,19, ,21.9,,13,,17.5,,0.5,,0,,0,,0,,0,,0,,0,,0,
11-06-20,2011,6,20, ,25,,13.6,,19.3,,0,,1.3,,0,,0,,0,,0,,0,,0,
11-06-21,2011,6,21, ,26.2,,17.8,,22,,0,,4,,0.2,,0,,0.2,,0,,9,,35,
11-06-22,2011,6,22, ,23,,17.8,,20.4,,0,,2.4,,15.2,,0,,15.2,,0,,29,,35,
11-06-23,2011,6,23, ,24.6,,18,,21.3,,0,,3.3,,21.2,,0,,21.2,,0,,23,,57,
11-06-24,2011,6,24, ,23,,17.3,,20.2,,0,,2.2,,1.4,,0,,1.4,,0,,26,,35,
11-06-25,2011,6,25, ,21.9,,16.2,,19.1,,0,,1.1,,0.4,,0,,0.4,,0,,28,,37,
11-06-26,2011,6,26, ,22.9,,15.8,,19.4,,0,,1.4,,0,,0,,0,,0,,0,,0,
11-06-27,2011,6,27, ,24.6,,14.3,,19.5,,0,,1.5,,0,,0,,0,,0,,0,,0,
11-06-28,2011,6,28, ,27.7,,15.9,,21.8,,0,,3.8,,0.2,,0,,0.2,,0,,29,,59,
11-06-29,2011,6,29, ,23.3,,13.6,,18.5,,0,,0.5,,0,,0,,0,,0,,30,,44,
11-06-30,2011,6,30, ,26.5,,11.5,,19,,0,,1,,0,,0,,0,,0,,31,,32,
11-07-01,2011,7,1, ,26.5,,12.5,,19.5,,0,,1.5,,0,,0,,0,,0,,0,,0,
11-07-02,2011,7,2, ,27.5,,17.4,,22.5,,0,,4.5,,3.2,,0,,3.2,,0,,29,,59,
11-07-03,2011,7,3, ,30,,17.3,,23.7,,0,,5.7,,0.8,,0,,0.8,,0,,32,,39,
11-07-04,2011,7,4, ,28.7,,14,,21.4,,0,,3.4,,0,,0,,0,,0,,30,,35,
11-07-05,2011,7,5, ,30.6,,14.5,,22.6,,0,,4.6,,0,,0,,0,,0,,27,,37,
11-07-06,2011,7,6, ,30.1,,18.9,,24.5,,0,,6.5,,0,T,0,,0,T,0,,29,,33,
11-07-07,2011,7,7, ,25.4,,16.5,,21,,0,,3,,0,,0,,0,,0,,0,,0,
11-07-08,2011,7,8, ,28.1,,16.9,,22.5,,0,,4.5,,0,,0,,0,,0,,0,,0,
11-07-09,2011,7,9, ,25.7,,17,,21.4,,0,,3.4,,0,,0,,0,,0,,0,,0,
11-07-10,2011,7,10, ,31.8,,19.4,,25.6,,0,,7.6,,0,,0,,0,,0,,0,,0,
11-07-11,2011,7,11, ,33.5,,22.5,,28,,0,,10,,0,,0,,0,,0,,22,,50,
11-07-12,2011,7,12, ,32.1,,19.1,,25.6,,0,,7.6,,0,,0,,0,,0,,31,,50,
11-07-13,2011,7,13, ,27.2,,16.7,,22,,0,,4,,0,,0,,0,,0,,35,,46,
11-07-14,2011,7,14, ,27,,15.7,,21.4,,0,,3.4,,0,,0,,0,,0,,0,,0,
11-07-15,2011,7,15, ,28.1,,14.5,,21.3,,0,,3.3,,0,,0,,0,,0,,12,,32,
11-07-16,2011,7,16, ,31.2,,16.7,,24,,0,,6,,0,,0,,0,,0,,0,,0,
11-07-17,2011,7,17, ,35.2,,21.2,,28.2,,0,,10.2,,0,,0,,0,,0,,26,,46,
11-07-18,2011,7,18, ,34.3,,23.6,,29,,0,,11,,0.4,,0,,0.4,,0,,29,,46,
11-07-19,2011,7,19, ,29.5,,21.4,,25.5,,0,,7.5,,0,,0,,0,,0,,0,,0,
